"Table 1.9. Tourism Intensity in towns and municipalities"

"Spatial unit","2021 Number of Population, Census 2021","2021 Surface Area, km2","2021 Number of Population 2021, per km2","2021 Number of Permanent Beds","2021 Tourist Arrivals","2021 Tourist Nights","2021 Number of Tourist Arrivals per 100 inhabitants","2021 Number of Tourist Nights per 100 inhabitants","2021 Number of Tourist Arrivals per km2","2021 Number of Tourist Nights per km2","2021 Number of Permanent Beds per 100 inhabitants","2021 Number of Permanent beds per km2","2021 Average Number of Tourist Nights per Arrival","2021 Average Number of Tourist Nights per Permanent Beds","2022 Number of Population, Census 2021","2022 Surface Area, km2","2022 Number of Population 2021, per km2","2022 Number of Permanent Beds","2022 Tourist Arrivals","2022 Tourist Nights","2022 Number of Tourist Arrivals per 100 inhabitants","2022 Number of Tourist Nights per 100 inhabitants","2022 Number of Tourist Arrivals per km2","2022 Number of Tourist Nights per km2","2022 Number of Permanent Beds per 100 inhabitants","2022 Number of Permanent beds per km2","2022 Average Number of Tourist Nights per Arrival","2022 Average Number of Tourist Nights per Permanent Beds","2023 Number of Population, Census 2021","2023 Surface Area, km2","2023 Number of Population 2021, per km2","2023 Number of Permanent Beds","2023 Tourist Arrivals","2023 Tourist Nights","2023 Number of Tourist Arrivals per 100 inhabitants","2023 Number of Tourist Nights per 100 inhabitants","2023 Number of Tourist Arrivals per km2","2023 Number of Tourist Nights per km2","2023 Number of Permanent Beds per 100 inhabitants","2023 Number of Permanent beds per km2","2023 Average Number of Tourist Nights per Arrival","2023 Average Number of Tourist Nights per Permanent Beds","2024 Number of Population, Census 2021","2024 Surface Area, km2","2024 Number of Population 2021, per km2","2024 Number of Permanent Beds","2024 Tourist Arrivals","2024 Tourist Nights","2024 Number of Tourist Arrivals per 100 inhabitants","2024 Number of Tourist Nights per 100 inhabitants","2024 Number of Tourist Arrivals per km2","2024 Number of Tourist Nights per km2","2024 Number of Permanent Beds per 100 inhabitants","2024 Number of Permanent beds per km2","2024 Average Number of Tourist Nights per Arrival","2024 Average Number of Tourist Nights per Permanent Beds"
"Raša",2809,80.36,34,3811,37474,274295,1334.1,9764.9,466.3,3413.3,135.7,47.4,7.3,72.0,2809,80.36,34,3801,44456,320910,1582.6,11424.4,553.2,3993.4,135.3,47.3,7.2,84.4,2809,80.36,34,3904,45236,318238,1610.4,11329.2,562.9,3960.2,139.0,48.6,7.0,81.5,2809,80.36,34,4020,42723,301341,1520.9,10727.7,531.6,3749.9,143.1,50.0,7.1,75.0
"Rovinj - Rovigno",12968,77.48,167,38323,541295,3378938,4174.1,26056.0,6986.3,43610.5,295.5,494.6,6.2,88.2,12968,77.48,167,38351,700302,4096236,5400.2,31587.3,9038.5,52868.3,295.7,495.0,5.8,106.8,12968,77.48,167,38662,729266,4128901,5623.6,31839.2,9412.3,53289.9,298.1,499.0,5.7,106.8,12968,77.48,167,39050,724475,4068712,5586.6,31375.0,9350.5,52513.1,301.1,504.0,5.6,104.2
"Sveta Nedelja",2898,62.98,46,1536,10827,95921,373.6,3309.9,171.9,1523.0,53.0,24.4,8.9,62.4,2898,62.98,46,1574,12459,116248,429.9,4011.3,197.8,1845.8,54.3,25.0,9.3,73.9,2898,62.98,46,1683,13257,119866,457.5,4136.2,210.5,1903.2,58.1,26.7,9.0,71.2,2898,62.98,46,1768,13601,117652,469.3,4059.8,216.0,1868.1,61.0,28.1,8.7,66.5
"Sveti Lovreè",960,31.65,30,912,6491,52401,676.1,5458.4,205.1,1655.6,95.0,28.8,8.1,57.5,960,31.65,30,830,6651,58065,692.8,6048.4,210.1,1834.6,86.5,26.2,8.7,70.0,960,31.65,30,874,7123,56821,742.0,5918.9,225.1,1795.3,91.0,27.6,8.0,65.0,960,31.65,30,925,7936,62993,826.7,6561.8,250.7,1990.3,96.4,29.2,7.9,68.1
"Sveti Petar u Šumi",1051,14.23,73,314,2514,21791,239.2,2073.4,176.7,1531.3,29.9,22.1,8.7,69.4,1051,14.23,73,333,3088,26708,293.8,2541.2,217.0,1876.9,31.7,23.4,8.6,80.2,1051,14.23,73,336,3037,26815,289.0,2551.4,213.4,1884.4,32.0,23.6,8.8,79.8,1051,14.23,73,348,3130,27009,297.8,2569.8,220.0,1898.0,33.1,24.5,8.6,77.6
"Svetvinèenat",2179,79.62,27,2225,17847,152665,819.0,7006.2,224.2,1917.4,102.1,27.9,8.6,68.6,2179,79.62,27,2460,21495,185717,986.5,8523.0,270.0,2332.5,112.9,30.9,8.6,75.5,2179,79.62,27,2587,22518,183683,1033.4,8429.7,282.8,2307.0,118.7,32.5,8.2,71.0,2179,79.62,27,2719,24131,191974,1107.4,8810.2,303.1,2411.1,124.8,34.1,8.0,70.6
"Tar-Vabriga - Torre-Abrega",2148,27.11,79,19707,183509,1479075,8543.2,68858.2,6769.1,54558.3,917.5,726.9,8.1,75.1,2148,27.11,79,20067,253637,1873753,11808.1,87232.4,9355.8,69116.7,934.2,740.2,7.4,93.4,2148,27.11,79,20366,270989,1901241,12615.9,88512.2,9995.9,70130.6,948.1,751.2,7.0,93.4,2148,27.11,79,20458,260567,1816694,12130.7,84576.1,9611.5,67012.0,952.4,754.6,7.0,88.8
"Tinjan",1729,52.75,32,955,7727,65199,446.9,3770.9,146.5,1236.0,55.2,18.1,8.4,68.3,1729,52.75,32,1111,9686,82512,560.2,4772.2,183.6,1564.2,64.3,21.1,8.5,74.3,1729,52.75,32,1140,9378,78878,542.4,4562.1,177.8,1495.3,65.9,21.6,8.4,69.2,1729,52.75,32,1146,9529,76902,551.1,4447.8,180.6,1457.9,66.3,21.7,8.1,67.1
"Umag -Umago",12699,82.18,154,26030,334283,1887636,2632.4,14864.4,4067.7,22969.5,205.0,316.7,5.6,72.5,12699,82.18,154,26650,503189,2596321,3962.4,20445.1,6123.0,31593.1,209.9,324.3,5.2,97.4,12699,82.18,154,27176,542446,2689153,4271.6,21176.1,6600.7,32722.7,214.0,330.7,5.0,99.0,12699,82.18,154,27637,543592,2666930,4280.6,21001.1,6614.7,32452.3,217.6,336.3,4.9,96.5
"Višnjan - Visignano",2096,63.51,33,1386,10792,84666,514.9,4039.4,169.9,1333.1,66.1,21.8,7.8,61.1,2096,63.51,33,1311,12809,101808,611.1,4857.3,201.7,1603.0,62.5,20.6,7.9,77.7,2096,63.51,33,1353,12432,98655,593.1,4706.8,195.7,1553.4,64.6,21.3,7.9,72.9,2096,63.51,33,1445,12359,97535,589.6,4653.4,194.6,1535.7,68.9,22.8,7.9,67.5
"Vižinada - Visinada",1142,35.68,32,666,5885,45820,515.3,4012.3,164.9,1284.2,58.3,18.7,7.8,68.8,1142,35.68,32,688,6951,53271,608.7,4664.7,194.8,1493.0,60.2,19.3,7.7,77.4,1142,35.68,32,786,7648,57312,669.7,5018.6,214.3,1606.3,68.8,22.0,7.5,72.9,1142,35.68,32,818,8006,55859,701.1,4891.3,224.4,1565.6,71.6,22.9,7.0,68.3
"Vodnjan - Dignano",5838,101.01,57,4802,36924,285906,632.5,4897.3,365.5,2830.5,82.3,47.5,7.7,59.5,5838,101.01,57,4995,48321,352863,827.7,6044.2,478.4,3493.3,85.6,49.5,7.3,70.6,5838,101.01,57,6746,51777,363611,886.9,6228.3,512.6,3599.8,115.6,66.8,7.0,53.9,5838,101.01,57,6942,53175,367195,910.8,6289.7,526.4,3635.2,118.9,68.7,6.9,52.9
"Vrsar - Orsera",1923,36.46,52,19081,168863,1385725,8781.2,72060.6,4631.5,38006.7,992.3,523.3,8.2,72.6,1923,36.46,52,19146,228404,1719467,11877.5,89415.9,6264.5,47160.4,995.6,525.1,7.5,89.8,1923,36.46,52,18012,236652,1746307,12306.4,90811.6,6490.7,47896.5,936.7,494.0,7.4,97.0,1923,36.46,52,18960,244188,1746579,12698.3,90825.7,6697.4,47904.0,986.0,520.0,7.2,92.1
"Žminj",3360,71.58,46,1252,9902,81234,294.7,2417.7,138.3,1134.9,37.3,17.5,8.2,64.9,3360,71.58,46,1326,11988,103035,356.8,3066.5,167.5,1439.4,39.5,18.5,8.6,77.7,3360,71.58,46,1340,12544,104059,373.3,3097.0,175.2,1453.7,39.9,18.7,8.3,77.7,3360,71.58,46,1417,11999,99677,357.1,2966.6,167.6,1392.5,42.2,19.8,8.3,70.3
"County of Dubrovnik-Neretva",115564,1782.64,65,76030,967361,4704438,837.1,4070.9,542.7,2639.0,65.8,42.7,4.9,61.9,115564,1782.64,65,81866,1688945,7210748,1461.5,6239.6,947.4,4045.0,70.8,45.9,4.3,88.1,115564,1782.64,65,83763,2000763,7762485,1731.3,6717.0,1122.4,4354.5,72.5,47.0,3.9,92.7,115564,1782.64,65,85152,2147058,8293708,1857.9,7176.7,1204.4,4652.5,73.7,47.8,3.9,97.4
"Blato",3330,66.54,50,2895,18584,175259,558.1,5263.0,279.3,2633.9,86.9,43.5,9.4,60.5,3330,66.54,50,3000,20307,189778,609.8,5699.0,305.2,2852.1,90.1,45.1,9.3,63.3,3330,66.54,50,3021,21412,191627,643.0,5754.6,321.8,2879.9,90.7,45.4,8.9,63.4,3330,66.54,50,3186,21788,193559,654.3,5812.6,327.4,2908.9,95.7,47.9,8.9,60.8
"Dubrovaèko Primorje",1636,197.64,8,2079,18059,124441,1103.9,7606.4,91.4,629.6,127.1,10.5,6.9,59.9,1636,197.64,8,2190,z,z,z,z,z,z,133.9,11.1,z,z,1636,197.64,8,2210,31739,184900,1940.0,11302.0,160.6,935.5,135.1,11.2,5.8,83.7,1636,197.64,8,2203,35596,203831,2175.8,12459.1,180.1,1031.3,134.7,11.1,5.7,92.5
"Dubrovnik",41562,142.64,291,28137,518102,1865885,1246.6,4489.4,3632.2,13081.1,67.7,197.3,3.6,66.3,41562,142.64,291,31698,1029559,3483909,2477.2,8382.4,7217.9,24424.5,76.3,222.2,3.4,109.9,41562,142.64,291,32745,1235533,3805726,2972.7,9156.7,8661.9,26680.6,78.8,229.6,3.1,116.2,41562,142.64,291,33133,1347526,4192151,3242.2,10086.5,9447.0,29389.7,79.7,232.3,3.1,126.5
"Janjina",522,30.10,17,844,6166,51937,1181.2,9949.6,204.9,1725.5,161.7,28.0,8.4,61.5,522,30.10,17,844,7267,57320,1392.1,10980.8,241.4,1904.3,161.7,28.0,7.9,67.9,522,30.10,17,930,8372,62564,1603.8,11985.4,278.1,2078.5,178.2,30.9,7.5,67.3,522,30.10,17,953,8339,62763,1597.5,12023.6,277.0,2085.1,182.6,31.7,7.5,65.9
"Konavle",8607,210.13,40,5486,60199,324136,699.4,3766.0,286.5,1542.5,63.7,26.1,5.4,59.1,8607,210.13,40,6508,125100,639249,1453.5,7427.1,595.3,3042.2,75.6,31.0,5.1,98.2,8607,210.13,40,6628,161335,724222,1874.5,8414.3,767.8,3446.5,77.0,31.5,4.5,109.3,8607,210.13,40,6827,176443,811120,2050.0,9424.0,839.7,3860.1,79.3,32.5,4.6,118.8
"Korèula",5415,112.42,48,5222,56912,297041,1051.0,5485.5,506.2,2642.2,96.4,46.5,5.2,56.9,5415,112.42,48,5682,88353,395980,1631.6,7312.7,785.9,3522.3,104.9,50.5,4.5,69.7,5415,112.42,48,5527,97737,389009,1804.9,7183.9,869.4,3460.3,102.1,49.2,4.0,70.4,5415,112.42,48,5620,101162,403820,1868.2,7457.4,899.9,3592.1,103.8,50.0,4.0,71.9
"Kula Norinska",1414,61.61,22,37,z,z,z,z,z,z,2.6,0.6,z,z,1414,61.61,22,37,973,2494,68.8,176.4,15.8,40.5,2.6,0.6,2.6,67.4,1414,61.61,22,37,z,z,z,z,z,z,2.6,0.6,z,z,1414,61.61,22,37,z,z,z,z,z,z,2.6,0.6,z,z
"Lastovo",748,52.53,14,1139,8984,60629,1201.1,8105.5,171.0,1154.2,152.3,21.7,6.7,53.2,748,52.53,14,1128,9207,60348,1230.9,8067.9,175.3,1148.8,150.8,21.5,6.6,53.5,748,52.53,14,1079,9545,62176,1276.1,8312.3,181.7,1183.6,144.3,20.5,6.5,57.6,748,52.53,14,1141,8546,56341,1142.5,7532.2,162.7,1072.5,152.5,21.7,6.6,49.4
"Lumbarda",1209,10.72,112,1965,13672,105388,1130.9,8717.0,1275.4,9831.0,162.5,183.3,7.7,53.6,1209,10.72,112,1963,17309,121380,1431.7,10039.7,1614.6,11322.8,162.4,183.1,7.0,61.8,1209,10.72,112,1969,17424,121536,1441.2,10052.6,1625.4,11337.3,162.9,183.7,7.0,61.7,1209,10.72,112,1960,18144,122234,1500.7,10110.3,1692.5,11402.4,162.1,182.8,6.7,62.4
"Metkoviæ",15235,51.21,297,356,5593,11503,36.7,75.5,109.2,224.6,2.3,7.0,2.1,32.3,15235,51.21,297,356,6052,14487,39.7,95.1,118.2,282.9,2.3,7.0,2.4,40.7,15235,51.21,297,443,9004,19457,59.1,127.7,175.8,379.9,2.9,8.7,2.2,43.9,15235,51.21,297,453,11920,24563,78.2,161.2,232.8,479.7,3.0,8.8,2.1,54.2
"Mljet",1062,99.26,10,2087,26442,126010,2489.8,11865.3,266.4,1269.5,196.5,21.0,4.8,60.4,1062,99.26,10,2106,30042,140503,2828.8,13230.0,302.7,1415.5,198.3,21.2,4.7,66.7,1062,99.26,10,2070,29900,137955,2815.4,12990.1,301.2,1389.8,194.9,20.9,4.6,66.6,1062,99.26,10,2057,30457,142913,2867.9,13457.0,306.8,1439.8,193.7,20.7,4.7,69.5
"Opuzen",2838,24.63,115,347,438,3154,15.4,111.1,17.8,128.1,12.2,14.1,7.2,9.1,2838,24.63,115,334,630,4223,22.2,148.8,25.6,171.5,11.8,13.6,6.7,12.6,2838,24.63,115,358,808,4787,28.5,168.7,32.8,194.4,12.6,14.5,5.9,13.4,2838,24.63,115,383,1304,6957,45.9,245.1,52.9,282.5,13.5,15.6,5.3,18.2
"Orebiæ",3705,131.32,28,10431,89534,706313,2416.6,19063.8,681.8,5378.6,281.5,79.4,7.9,67.7,3705,131.32,28,10371,110739,806304,2988.9,21762.6,843.3,6140.0,279.9,79.0,7.3,77.7,3705,131.32,28,10617,119746,827618,3232.0,22337.9,911.9,6302.3,286.6,80.8,6.9,78.0,3705,131.32,28,10743,120445,825953,3250.9,22292.9,917.2,6289.6,290.0,81.8,6.9,76.9
"Ploèe",8220,132.13,62,699,5230,25967,63.6,315.9,39.6,196.5,8.5,5.3,5.0,37.1,8220,132.13,62,868,7051,34889,85.8,424.4,53.4,264.1,10.6,6.6,4.9,40.2,8220,132.13,62,891,9441,36112,114.9,439.3,71.5,273.3,10.8,6.7,3.8,40.5,8220,132.13,62,918,12151,45714,147.8,556.1,92.0,346.0,11.2,6.9,3.8,49.8
"Pojezerje",943,32.81,28,-,-,-,-,-,-,-,-,-,-,-,943,32.81,28,-,-,-,-,-,-,-,-,-,-,-,943,32.81,28,-,-,-,-,-,-,-,-,-,-,-,943,32.81,28,-,-,-,-,-,-,-,-,-,-,-
"Slivno",2046,52.76,38,2185,17509,131057,855.8,6405.5,331.9,2484.0,106.8,41.4,7.5,60.0,2046,52.76,38,2334,22079,152000,1079.1,7429.1,418.5,2881.0,114.1,44.2,6.9,65.1,2046,52.76,38,2426,24030,156878,1174.5,7667.5,455.5,2973.4,118.6,46.0,6.5,64.7,2046,52.76,38,2518,26104,163474,1275.9,7989.9,494.8,3098.4,123.1,47.7,6.3,64.9
"Smokvica",868,43.60,19,636,5895,40584,679.1,4675.6,135.2,930.8,73.3,14.6,6.9,63.8,868,43.60,19,683,6797,45368,783.1,5226.7,155.9,1040.6,78.7,15.7,6.7,66.4,868,43.60,19,684,7232,47090,833.2,5425.1,165.9,1080.0,78.8,15.7,6.5,68.8,868,43.60,19,681,7165,46411,825.5,5346.9,164.3,1064.5,78.5,15.6,6.5,68.2
"Ston",2491,168.71,14,2799,23131,121656,928.6,4883.8,137.1,721.1,112.4,16.6,5.3,43.5,2491,168.71,14,2850,33186,152905,1332.2,6138.3,196.7,906.3,114.4,16.9,4.6,53.7,2491,168.71,14,2968,40133,170890,1611.1,6860.3,237.9,1012.9,119.1,17.6,4.3,57.6,2491,168.71,14,3025,39007,168632,1565.9,6769.7,231.2,999.5,121.4,17.9,4.3,55.7
"Trpanj",683,35.57,19,1292,11570,87244,1694.0,12773.6,325.3,2452.7,189.2,36.3,7.5,67.5,683,35.57,19,1276,14396,98901,2107.8,14480.4,404.7,2780.5,186.8,35.9,6.9,77.5,683,35.57,19,1325,16831,104642,2464.3,15320.9,473.2,2941.9,194.0,37.3,6.2,79.0,683,35.57,19,1338,17731,113975,2596.0,16687.4,498.5,3204.2,195.9,37.6,6.4,85.2
"Vela Luka",3772,42.84,88,2722,22173,148475,587.8,3936.2,517.6,3465.8,72.2,63.5,6.7,54.5,3772,42.84,88,2797,26243,169591,695.7,4496.0,612.6,3958.7,74.2,65.3,6.5,60.6,3772,42.84,88,2718,26758,167947,709.4,4452.5,624.6,3920.3,72.1,63.4,6.3,61.8,3772,42.84,88,2792,27633,171154,732.6,4537.5,645.0,3995.2,74.0,65.2,6.2,61.3
"Zažablje",553,60.61,9,6,z,z,z,z,z,z,1.1,0.1,z,z,553,60.61,9,6,z,z,z,z,z,z,1.1,0.1,z,z,553,60.61,9,6,z,z,z,z,z,z,1.1,0.1,z,z,553,60.61,9,6,z,z,z,z,z,z,1.1,0.1,z,z
"Župa Dubrovaèka",8705,22.86,380,4666,58647,296120,673.7,3401.7,2565.5,12953.6,53.6,204.1,5.0,63.5,8705,22.86,380,4835,109284,482605,1255.4,5544.0,4780.6,21111.3,55.5,211.5,4.4,99.8,8705,22.86,380,5111,132993,545522,1527.8,6266.8,5817.7,23863.6,58.7,223.6,4.1,106.7,8705,22.86,380,5178,134651,535903,1546.8,6156.3,5890.2,23442.8,59.5,226.5,4.0,103.5
"City of Zagreb",767131,641.25,1196,19071,634795,1375248,82.7,179.3,989.9,2144.6,2.5,29.7,2.2,72.1,767131,641.25,1196,23992,1078669,2206044,140.6,287.6,1682.1,3440.2,3.1,37.4,2.0,91.9,767131,641.25,1196,22442,1300694,2507454,169.6,326.9,2028.4,3910.3,2.9,35.0,1.9,111.7,767131,641.25,1196,27279,1419929,2646443,185.1,345.0,2214.3,4127.0,3.6,42.5,1.9,97.0
"City of Zagreb",767131,641.25,1196,19071,634795,1375248,82.7,179.3,989.9,2144.6,2.5,29.7,2.2,72.1,767131,641.25,1196,23992,1078669,2206044,140.6,287.6,1682.1,3440.2,3.1,37.4,2.0,91.9,767131,641.25,1196,22442,1300694,2507454,169.6,326.9,2028.4,3910.3,2.9,35.0,1.9,111.7,767131,641.25,1196,27279,1419929,2646443,185.1,345.0,2214.3,4127.0,3.6,42.5,1.9,97.0
"City of Zagreb",767131,641.25,1196,19071,634795,1375248,82.7,179.3,989.9,2144.6,2.5,29.7,2.2,72.1,767131,641.25,1196,23992,1078669,2206044,140.6,287.6,1682.1,3440.2,3.1,37.4,2.0,91.9,767131,641.25,1196,22442,1300694,2507454,169.6,326.9,2028.4,3910.3,2.9,35.0,1.9,111.7,767131,641.25,1196,27279,1419929,2646443,185.1,345.0,2214.3,4127.0,3.6,42.5,1.9,97.0
"North Croatia",786645,8028.27,98,13268,381081,786159,48.4,99.9,47.5,97.9,1.7,1.7,2.1,59.3,786645,8028.27,98,13870,497778,1056301,63.3,134.3,62.0,131.6,1.8,1.7,2.1,76.2,786645,8028.27,98,14319,557122,1181007,70.8,150.1,69.4,147.1,1.8,1.8,2.1,82.5,786645,8028.27,98,15769,602302,1256030,76.6,159.7,75.0,156.5,2.0,2.0,2.1,79.7
"County of Zagreb",299985,3061.71,98,2907,79586,150760,26.5,50.3,26.0,49.2,1.0,0.9,1.9,51.9,299985,3061.71,98,3143,126615,229238,42.2,76.4,41.4,74.9,1.0,1.0,1.8,72.9,299985,3061.71,98,3517,148628,265018,49.5,88.3,48.5,86.6,1.2,1.1,1.8,75.4,299985,3061.71,98,4304,168870,298810,56.3,99.6,55.2,97.6,1.4,1.4,1.8,69.4
"Bedenica",1266,21.48,58,19,217,986,17.1,77.9,10.1,45.9,1.5,0.9,4.5,51.9,1266,21.48,58,19,219,1521,17.3,120.1,10.2,70.8,1.5,0.9,6.9,80.1,1266,21.48,58,21,161,1259,12.7,99.4,7.5,58.6,1.7,1.0,7.8,60.0,1266,21.48,58,12,z,z,z,z,z,z,0.9,0.6,z,z
"Bistra",6444,52.89,121,3,z,z,z,z,z,z,0.0,0.1,z,z,6444,52.89,121,3,z,z,z,z,z,z,0.0,0.1,z,z,6444,52.89,121,3,z,z,z,z,z,z,0.0,0.1,z,z,6444,52.89,121,3,z,z,z,z,z,z,0.0,0.1,z,z
"Brckovljani",5876,69.83,84,19,397,1068,6.8,18.2,5.7,15.3,0.3,0.3,2.7,56.2,5876,69.83,84,19,160,857,2.7,14.6,2.3,12.3,0.3,0.3,5.4,45.1,5876,69.83,84,23,z,z,z,z,z,z,0.4,0.3,z,z,5876,69.83,84,23,136,590,2.3,10.0,1.9,8.4,0.4,0.3,4.3,25.7
"Brdovec",10737,37.23,288,27,318,396,3.0,3.7,8.5,10.6,0.3,0.7,1.2,14.7,10737,37.23,288,18,z,z,z,z,z,z,0.2,0.5,z,z,10737,37.23,288,31,418,553,3.9,5.2,11.2,14.9,0.3,0.8,1.3,17.8,10737,37.23,288,32,761,1118,7.1,10.4,20.4,30.0,0.3,0.9,1.5,34.9
"Dubrava",4520,115.65,39,-,-,-,-,-,-,-,-,-,-,-,4520,115.65,39,-,-,-,-,-,-,-,-,-,-,-,4520,115.65,39,-,-,-,-,-,-,-,-,-,-,-,4520,115.65,39,4,z,z,z,z,z,z,0.1,0.0,z,z
"Dubravica",1192,20.56,57,4,z,z,z,z,z,z,0.3,0.2,z,z,1192,20.56,57,4,z,z,z,z,z,z,0.3,0.2,z,z,1192,20.56,57,7,z,z,z,z,z,z,0.6,0.3,z,z,1192,20.56,57,11,z,z,z,z,z,z,0.9,0.5,z,z
"Dugo Selo",17676,54.29,325,126,790,1455,4.5,8.2,14.6,26.8,0.7,2.3,1.8,11.5,17676,54.29,325,136,2021,4349,11.4,24.6,37.2,80.1,0.8,2.5,2.2,32.0,17676,54.29,325,139,1617,3634,9.1,20.6,29.8,66.9,0.8,2.6,2.2,26.1,17676,54.29,325,141,1093,2772,6.2,15.7,20.1,51.1,0.8,2.6,2.5,19.7
"Farkaševac",1562,73.77,21,10,z,z,z,z,z,z,0.6,0.1,z,z,1562,73.77,21,10,z,z,z,z,z,z,0.6,0.1,z,z,1562,73.77,21,14,z,z,z,z,z,z,0.9,0.2,z,z,1562,73.77,21,-,-,-,-,-,-,-,-,-,-,-
"Gradec",3189,88.98,35,-,-,-,-,-,-,-,-,-,-,-,3189,88.98,35,-,-,-,-,-,-,-,-,-,-,-,3189,88.98,35,-,-,-,-,-,-,-,-,-,-,-,3189,88.98,35,8,z,z,z,z,z,z,0.3,0.1,z,z
"Ivaniæ-Grad",12982,173.48,74,235,7634,25150,58.8,193.7,44.0,145.0,1.8,1.4,3.3,107.0,12982,173.48,74,359,10426,29120,80.3,224.3,60.1,167.9,2.8,2.1,2.8,81.1,12982,173.48,74,371,9940,33495,76.6,258.0,57.3,193.1,2.9,2.1,3.4,90.3,12982,173.48,74,373,10096,34311,77.8,264.3,58.2,197.8,2.9,2.2,3.4,92.0
"Jakovlje",3797,35.58,106,4,z,z,z,z,z,z,0.1,0.1,z,z,3797,35.58,106,25,113,357,3.0,9.4,3.2,10.0,0.7,0.7,3.2,14.3,3797,35.58,106,23,228,660,6.0,17.4,6.4,18.5,0.6,0.6,2.9,28.7,3797,35.58,106,34,310,1304,8.2,34.3,8.7,36.6,0.9,1.0,4.2,38.4
"Jastrebarsko",14562,226.44,64,506,12408,18837,85.2,129.4,54.8,83.2,3.5,2.2,1.5,37.2,14562,226.44,64,536,21740,33161,149.3,227.7,96.0,146.4,3.7,2.4,1.5,61.9,14562,226.44,64,601,29905,43816,205.4,300.9,132.1,193.5,4.1,2.7,1.5,72.9,14562,226.44,64,1134,33366,50203,229.1,344.8,147.4,221.7,7.8,5.0,1.5,44.3
"Klinèa Sela",5044,77.02,65,24,301,590,6.0,11.7,3.9,7.7,0.5,0.3,2.0,24.6,5044,77.02,65,27,588,1120,11.7,22.2,7.6,14.5,0.5,0.4,1.9,41.5,5044,77.02,65,23,441,909,8.7,18.0,5.7,11.8,0.5,0.3,2.1,39.5,5044,77.02,65,25,246,619,4.9,12.3,3.2,8.0,0.5,0.3,2.5,24.8
"Kloštar Ivaniæ",5523,77.49,71,5,z,z,z,z,z,z,0.1,0.1,z,z,5523,77.49,71,19,143,635,2.6,11.5,1.8,8.2,0.3,0.2,4.4,33.4,5523,77.49,71,23,199,1386,3.6,25.1,2.6,17.9,0.4,0.3,7.0,60.3,5523,77.49,71,23,197,1072,3.6,19.4,2.5,13.8,0.4,0.3,5.4,46.6
"Krašiæ",2250,71.50,31,27,198,1364,8.8,60.6,2.8,19.1,1.2,0.4,6.9,50.5,2250,71.50,31,30,269,1919,12.0,85.3,3.8,26.8,1.3,0.4,7.1,64.0,2250,71.50,31,38,378,2010,16.8,89.3,5.3,28.1,1.7,0.5,5.3,52.9,2250,71.50,31,46,361,1830,16.0,81.3,5.0,25.6,2.0,0.6,5.1,39.8
"Kravarsko",1824,58.42,31,18,z,z,z,z,z,z,1.0,0.3,z,z,1824,58.42,31,4,z,z,z,z,z,z,0.2,0.1,z,z,1824,58.42,31,14,z,z,z,z,z,z,0.8,0.2,z,z,1824,58.42,31,8,z,z,z,z,z,z,0.4,0.1,z,z
"Križ",6098,117.76,51,-,-,-,-,-,-,-,-,-,-,-,6098,117.76,51,-,-,-,-,-,-,-,-,-,-,-,6098,117.76,51,-,-,-,-,-,-,-,-,-,-,-,6098,117.76,51,-,-,-,-,-,-,-,-,-,-,-
"Luka",1265,17.36,72,2,z,z,z,z,z,z,0.2,0.1,z,z,1265,17.36,72,6,z,z,z,z,z,z,0.5,0.3,z,z,1265,17.36,72,4,z,z,z,z,z,z,0.3,0.2,z,z,1265,17.36,72,8,92,405,7.3,32.0,5.3,23.3,0.6,0.5,4.4,50.6
"Marija Gorica",2094,17.15,122,13,z,z,z,z,z,z,0.6,0.8,z,z,2094,17.15,122,13,z,z,z,z,z,z,0.6,0.8,z,z,2094,17.15,122,9,z,z,z,z,z,z,0.4,0.5,z,z,2094,17.15,122,33,288,1135,13.8,54.2,16.8,66.2,1.6,1.9,3.9,34.4
"Orle",1765,58.57,30,-,-,-,-,-,-,-,-,-,-,-,1765,58.57,30,-,-,-,-,-,-,-,-,-,-,-,1765,58.57,30,-,-,-,-,-,-,-,-,-,-,-,1765,58.57,30,8,z,z,z,z,z,z,0.5,0.1,z,z
"Pisarovina",3484,145.38,23,116,2528,3883,72.6,111.5,17.4,26.7,3.3,0.8,1.5,33.5,3484,145.38,23,134,2903,4394,83.3,126.1,20.0,30.2,3.8,0.9,1.5,32.8,3484,145.38,23,122,2063,3507,59.2,100.7,14.2,24.1,3.5,0.8,1.7,28.7,3484,145.38,23,94,1980,3370,56.8,96.7,13.6,23.2,2.7,0.6,1.7,35.9
"Pokupsko",1926,105.73,18,14,413,935,21.4,48.5,3.9,8.8,0.7,0.1,2.3,66.8,1926,105.73,18,32,455,1089,23.6,56.5,4.3,10.3,1.7,0.3,2.4,34.0,1926,105.73,18,32,399,1209,20.7,62.8,3.8,11.4,1.7,0.3,3.0,37.8,1926,105.73,18,44,575,1799,29.9,93.4,5.4,17.0,2.3,0.4,3.1,40.9
"Preseka",1129,46.12,24,-,-,-,-,-,-,-,-,-,-,-,1129,46.12,24,-,-,-,-,-,-,-,-,-,-,-,1129,46.12,24,2,z,z,z,z,z,z,0.2,0.0,z,z,1129,46.12,24,2,z,z,z,z,z,z,0.2,0.0,z,z
